ACFT_ID;Profile_ID;Stage Length;Step Number;Step Type;Thrust Rating;Flap_ID;End Point Altitude (ft);Rate Of Climb (ft/min);End Point CAS (kt);Accel Percentage (%)
727D15;DEFAULT;1;4;Accelerate;MaxTakeoff;2;;1363.0;200.0;
727D15;DEFAULT;1;5;Accelerate;MaxClimb;ZERO;;1000.0;210.0;
727D15;DEFAULT;1;6;Climb;MaxClimb;ZERO;3000.0;;;
727D15;DEFAULT;1;7;Accelerate;MaxClimb;ZERO;;1000.0;250.0;
727D15;DEFAULT;1;8;Climb;MaxClimb;ZERO;5500.0;;;
727D15;DEFAULT;1;9;Climb;MaxClimb;ZERO;7500.0;;;
727D15;DEFAULT;1;10;Climb;MaxClimb;ZERO;10000.0;;;
727D15;DEFAULT;2;1;Takeoff;MaxTakeoff;5;;;;
727D15;DEFAULT;2;2;Climb;MaxTakeoff;5;1000.0;;;
727D15;DEFAULT;2;3;Accelerate;MaxTakeoff;5;;1281.0;170.0;
727D15;DEFAULT;2;4;Accelerate;MaxTakeoff;2;;1281.0;200.0;
727D15;DEFAULT;2;5;Accelerate;MaxClimb;ZERO;;1000.0;210.0;
727D15;DEFAULT;2;6;Climb;MaxClimb;ZERO;3000.0;;;
727D15;DEFAULT;2;7;Accelerate;MaxClimb;ZERO;;1000.0;250.0;
727D15;DEFAULT;2;8;Climb;MaxClimb;ZERO;5500.0;;;
727D15;DEFAULT;2;9;Climb;MaxClimb;ZERO;7500.0;;;
727D15;DEFAULT;2;10;Climb;MaxClimb;ZERO;10000.0;;;
727D15;DEFAULT;3;1;Takeoff;MaxTakeoff;5;;;;
